+-------------------------------------------------------+------------+
|                        Modules                        | Parameters |
+-------------------------------------------------------+------------+
|                  cnn.cnn.conv0.weight                 |    144     |
|                   cnn.cnn.conv0.bias                  |     16     |
|               cnn.cnn.batchnorm0.weight               |     16     |
|                cnn.cnn.batchnorm0.bias                |     16     |
|               cnn.cnn.glu0.linear.weight              |    256     |
|                cnn.cnn.glu0.linear.bias               |     16     |
|              cnn.cnn.conv1.conv.0.weight              |    1024    |
|              cnn.cnn.conv1.conv.1.weight              |     64     |
|               cnn.cnn.conv1.conv.1.bias               |     64     |
|              cnn.cnn.conv1.conv.3.weight              |    576     |
|              cnn.cnn.conv1.conv.4.weight              |     64     |
|               cnn.cnn.conv1.conv.4.bias               |     64     |
| cnn.cnn.conv1.conv.6.ChannelGateH.spatial.conv.weight |     98     |
|  cnn.cnn.conv1.conv.6.ChannelGateH.spatial.bn.weight  |     1      |
|   cnn.cnn.conv1.conv.6.ChannelGateH.spatial.bn.bias   |     1      |
| cnn.cnn.conv1.conv.6.ChannelGateW.spatial.conv.weight |     98     |
|  cnn.cnn.conv1.conv.6.ChannelGateW.spatial.bn.weight  |     1      |
|   cnn.cnn.conv1.conv.6.ChannelGateW.spatial.bn.bias   |     1      |
|  cnn.cnn.conv1.conv.6.SpatialGate.spatial.conv.weight |     98     |
|   cnn.cnn.conv1.conv.6.SpatialGate.spatial.bn.weight  |     1      |
|    cnn.cnn.conv1.conv.6.SpatialGate.spatial.bn.bias   |     1      |
|              cnn.cnn.conv1.conv.7.weight              |    2048    |
|              cnn.cnn.conv1.conv.8.weight              |     32     |
|               cnn.cnn.conv1.conv.8.bias               |     32     |
|         cnn.cnn.cbam1.ChannelGate.mlp.1.weight        |    256     |
|          cnn.cnn.cbam1.ChannelGate.mlp.1.bias         |     8      |
|         cnn.cnn.cbam1.ChannelGate.mlp.3.weight        |    256     |
|          cnn.cnn.cbam1.ChannelGate.mlp.3.bias         |     32     |
|     cnn.cnn.cbam1.SpatialGate.spatial.conv.weight     |     98     |
|      cnn.cnn.cbam1.SpatialGate.spatial.bn.weight      |     1      |
|       cnn.cnn.cbam1.SpatialGate.spatial.bn.bias       |     1      |
